# UOS EV manifest — generated from the observed docs/zk corpus.
# Consumed by `uos doctor`, which CHECKS each artifact rather than printing a literal.
# An EV with artifact '-' has no checkable record and is reported UNVERIFIABLE, never PASS.
# Columns: ev<TAB>artifact<TAB>label
1	-	no ADR record claims this cycle
2	-	no ADR record claims this cycle
3	-	no ADR record claims this cycle
4	-	no ADR record claims this cycle
5	-	no ADR record claims this cycle
6	-	no ADR record claims this cycle
7	-	no ADR record claims this cycle
8	-	no ADR record claims this cycle
9	-	no ADR record claims this cycle
10	-	no ADR record claims this cycle
11	-	no ADR record claims this cycle
12	-	no ADR record claims this cycle
13	-	no ADR record claims this cycle
14	-	no ADR record claims this cycle
15	-	no ADR record claims this cycle
16	-	no ADR record claims this cycle
17	-	no ADR record claims this cycle
18	-	no ADR record claims this cycle
19	-	no ADR record claims this cycle
20	-	no ADR record claims this cycle
21	-	no ADR record claims this cycle
22	-	no ADR record claims this cycle
23	-	no ADR record claims this cycle
24	-	no ADR record claims this cycle
25	-	no ADR record claims this cycle
26	-	no ADR record claims this cycle
27	-	no ADR record claims this cycle
28	-	no ADR record claims this cycle
29	-	no ADR record claims this cycle
30	-	no ADR record claims this cycle
31	-	no ADR record claims this cycle
32	-	no ADR record claims this cycle
33	-	no ADR record claims this cycle
34	-	no ADR record claims this cycle
35	-	no ADR record claims this cycle
36	-	no ADR record claims this cycle
37	-	no ADR record claims this cycle
38	-	no ADR record claims this cycle
39	-	no ADR record claims this cycle
40	-	no ADR record claims this cycle
41	-	no ADR record claims this cycle
42	-	no ADR record claims this cycle
43	-	no ADR record claims this cycle
44	-	no ADR record claims this cycle
45	-	no ADR record claims this cycle
46	-	no ADR record claims this cycle
47	-	no ADR record claims this cycle
48	-	no ADR record claims this cycle
49	-	no ADR record claims this cycle
50	-	no ADR record claims this cycle
51	-	no ADR record claims this cycle
52	-	no ADR record claims this cycle
53	-	no ADR record claims this cycle
54	-	no ADR record claims this cycle
55	-	no ADR record claims this cycle
56	-	no ADR record claims this cycle
57	-	no ADR record claims this cycle
58	-	no ADR record claims this cycle
59	-	no ADR record claims this cycle
60	-	no ADR record claims this cycle
61	-	no ADR record claims this cycle
62	-	no ADR record claims this cycle
63	-	no ADR record claims this cycle
64	-	no ADR record claims this cycle
65	-	no ADR record claims this cycle
66	-	no ADR record claims this cycle
67	-	no ADR record claims this cycle
68	-	no ADR record claims this cycle
69	-	no ADR record claims this cycle
70	docs/zk/20260906-2100-adr-058-c3i-vertical-slice-and-wave4-evolutionary-cycles.md	C3I Knowledge Runtime Vertical Slice & 15 Wave 4 Evolutionary Cycles (EV-70..EV-84) Ratification
71	-	no ADR record claims this cycle
72	-	no ADR record claims this cycle
73	-	no ADR record claims this cycle
74	-	no ADR record claims this cycle
75	-	no ADR record claims this cycle
76	-	no ADR record claims this cycle
77	-	no ADR record claims this cycle
78	-	no ADR record claims this cycle
79	-	no ADR record claims this cycle
80	-	no ADR record claims this cycle
81	-	no ADR record claims this cycle
82	-	no ADR record claims this cycle
83	-	no ADR record claims this cycle
84	-	no ADR record claims this cycle
85	-	no ADR record claims this cycle
86	-	no ADR record claims this cycle
87	-	no ADR record claims this cycle
88	-	no ADR record claims this cycle
89	-	no ADR record claims this cycle
90	-	no ADR record claims this cycle
91	-	no ADR record claims this cycle
92	-	no ADR record claims this cycle
